Code,Description
Year,Year
Month,Month
DayofMonth,Day of Month
Carrier,"Code assigned by IATA and commonly used to identify a carrier. As the same code may have been assigned to different carriers over time, the code is not always unique. For analysis, use the Unique Carrier Code."
Origin ,Origin Airport
OriginCityName,"Origin Airport, City Name "
Dest,Destination Airport
DestCityName,"Destination Airport, City Name"
DepDelay,Difference in minutes between scheduled and actual departure time. Early departures show negative numbers.
 ArrDelay,Difference in minutes between scheduled and actual arrival time. Early arrivals show negative numbers.
Cancelled,Cancelled Flight Indicator (1=Yes)
AirTime,"Flight Time, in Minutes"
Flights,Number of Flights
Distance,Distance between airports (miles)
CarrierDelay,"Carrier Delay, in Minutes"
WeatherDelay,"Weather Delay, in Minutes"
NASDelay,"National Air System Delay, in Minutes"
SecurityDelay,"Security Delay, in Minutes"
LateAircraftDelay,"Late Aircraft Delay, in Minutes"
DivAirportLandings,Number of Diverted Airport Landings                    0= No  ----  1= Yes 
,