"","city_name","lon","lat","flights.sum","cancelled.counter","delay.counter","nas_delay.counter","carrier_delay.counter","weather_delay.counter","security_delay.counter","late_aircraft_delay.counter"
"1","Aberdeen, SD",-98.4864829,45.4646985,728,11,120,32,27,7,0,40
"2","Abilene, TX",-99.7331439,32.4487364,629,20,155,80,56,21,0,77
"3","Adak Island, AK",-176.6217472,51.7615874,103,8,15,8,5,1,0,1
"4","Akron, OH",-81.5190053,41.0814447,6178,132,2088,649,672,87,8,762
"5","Albany, GA",-84.155741,31.5785074,630,5,144,59,65,8,0,43
"6","Albany, NY",-73.7562317,42.6525793,10548,177,4031,765,1238,125,9,1078
"7","Albuquerque, NM",-106.650422,35.0843859,20702,151,8607,1449,2458,131,18,2582
"8","Alexandria, LA",-92.4451371,31.3112936,1951,56,398,143,140,24,0,120
"9","Allentown/Bethlehem/Easton, PA",-75.441415,40.651834,2853,41,803,260,271,34,1,239
"10","Alpena, MI",-83.4327528,45.0616794,623,31,131,26,26,3,0,48
"11","Amarillo, TX",-101.8312969,35.2219971,3693,69,1247,297,345,30,2,415
"12","Anchorage, AK",-149.9002778,61.2180556,17443,187,5091,1647,1019,113,118,903
"13","Appleton, WI",-88.4153847,44.2619309,3324,48,810,227,253,28,0,254
"14","Arcata/Eureka, CA",-124.1065825,40.9709197,1205,44,338,128,96,17,0,165
"15","Asheville, NC",-82.5514869,35.5950581,4588,76,1480,414,524,56,6,547
"16","Ashland, WV",-81.3526016,37.4084488,130,1,40,10,15,2,0,11
"17","Aspen, CO",-106.8175387,39.1910983,6263,192,1896,679,532,104,3,626
"18","Atlanta, GA",-84.3879824,33.7489954,366548,4420,109289,26850,25438,2867,132,27047
"19","Atlantic City, NJ",-74.4229266,39.3642834,3444,102,1021,427,208,34,5,145
"20","Augusta, GA",-82.0105148,33.4734978,2794,29,909,265,294,44,0,274
"21","Austin, TX",-97.7430608,30.267153,56033,527,21095,4754,6048,450,32,5750
"22","Bakersfield, CA",-119.0187125,35.3732921,2234,13,569,179,172,5,2,221
"23","Baltimore, MD",-76.6121893,39.2903848,103438,1912,40486,7012,9460,892,84,9941
"24","Bangor, ME",-68.7712257,44.8016128,1894,120,516,171,154,14,0,203
"25","Barrow, AK",-156.788611,71.2905556,833,14,124,35,18,9,0,33
"26","Baton Rouge, LA",-91.1871466,30.4514677,6913,128,1804,558,673,32,0,618
"27","Beaumont/Port Arthur, TX",-94.1265562,30.080174,241,13,46,22,17,9,0,21
"28","Belleville, IL",-89.9839935,38.5200504,324,2,110,42,44,1,1,30
"29","Bellingham, WA",-122.4786854,48.7519112,1382,18,303,120,91,8,2,91
"30","Bemidji, MN",-94.8826861,47.471573,727,7,133,41,25,7,0,44
"31","Bend/Redmond, OR",-121.299079,44.1617823,3899,50,982,334,267,24,1,401
"32","Bethel, AK",-161.7558334,60.7922222,919,27,118,43,33,5,0,20
"33","Billings, MT",-108.5006904,45.7832856,3669,13,857,247,268,36,0,206
"34","Binghamton, NY",-75.9179738,42.0986867,874,20,228,68,72,12,0,74
"35","Birmingham, AL",-86.80249,33.5206608,13529,237,4809,972,1471,192,4,1422
"36","Bismarck/Mandan, ND",-100.8895761,46.8266603,2907,43,740,248,230,35,0,222
"37","Bloomington/Normal, IL",-88.9906312,40.5142026,2536,40,688,210,247,35,1,261
"38","Boise, ID",-116.2023137,43.6150186,17289,76,5580,1155,1369,105,10,1696
"39","Boston, MA",-71.0588801,42.3600825,131545,3703,49720,18080,14298,1457,58,15504
"40","Bozeman, MT",-111.0429339,45.6769979,5557,26,1498,495,440,59,1,334
"41","Brainerd, MN",-94.2020084,46.3526733,636,10,113,29,34,5,0,39
"42","Bristol/Johnson City/Kingsport, TN",-82.1888089,36.595141,2052,19,591,166,234,19,2,211
"43","Brownsville, TX",-97.4974838,25.9017472,1436,45,266,83,81,19,1,77
"44","Brunswick, GA",-81.4914894,31.1499528,694,10,170,62,73,2,0,45
"45","Buffalo, NY",-78.8783689,42.8864468,20373,515,7583,1704,2730,206,11,2333
"46","Bullhead City, AZ",-114.5285981,35.1359386,290,0,50,32,32,0,0,18
"47","Burbank, CA",-118.3089661,34.1808392,26045,390,10551,1723,3066,57,22,3522
"48","Burlington, VT",-73.212072,44.4758825,5039,236,1574,461,611,62,1,551
"49","Butte, MT",-112.5347775,46.0038232,677,8,105,17,20,12,0,21
"50","Cape Girardeau, MO",-89.5181476,37.3058839,256,13,67,17,12,1,0,32
"51","Casper, WY",-106.3251749,42.8500769,812,1,120,32,39,6,0,23
"52","Cedar City, UT",-113.0618931,37.6774769,623,1,82,103,38,2,0,19
"53","Cedar Rapids/Iowa City, IA",-104.990251,41.9778795,6878,93,1709,622,561,102,2,576
"54","Champaign/Urbana, IL",-88.2433829,40.1164204,762,30,185,93,48,35,0,65
"55","Charleston, SC",-79.9310512,32.7764749,16762,505,5551,1188,1676,179,8,1471
"56","Charleston/Dunbar, WV",-81.7373485,38.3606509,2788,92,776,208,262,53,1,257
"57","Charlotte, NC",-80.8431267,35.2270869,149860,2729,43355,11029,11273,1391,93,11443
"58","Charlottesville, VA",-78.4766781,38.0293059,3273,99,1100,350,369,45,2,444
"59","Chattanooga, TN",-85.3096801,35.0456297,4885,93,1529,545,524,70,1,544
"60","Chicago, IL",-87.6297982,41.8781136,375176,6887,116296,37608,26905,3257,206,34901
"61","Cincinnati, OH",-84.5120196,39.1031182,29327,477,9597,2402,2704,335,8,2941
"62","Clarksburg/Fairmont, WV",-80.1425781,39.4850848,373,11,97,42,40,2,0,41
"63","Cleveland, OH",-81.6943605,41.49932,40711,695,12942,3280,3826,372,6,4005
"64","Cody, WY",-109.0565308,44.5263422,993,8,148,45,36,8,0,32
"65","College Station/Bryan, TX",-96.3344068,30.627977,1650,43,303,90,106,13,0,105
"66","Colorado Springs, CO",-104.8213634,38.8338816,9705,107,3051,1014,949,97,2,1047
"67","Columbia, MO",-92.3340724,38.9517053,1339,39,344,117,106,30,0,129
"68","Columbia, SC",-81.0348144,34.0007104,4391,84,1339,263,447,67,0,346
"69","Columbus, GA",-84.9877094,32.4609764,848,6,232,70,94,8,0,70
"70","Columbus, MS",-88.4272627,33.4956744,957,13,249,93,68,7,0,114
"71","Columbus, OH",-82.9987942,39.9611755,30986,521,11275,2450,3307,311,13,3262
"72","CONCORD, NC",-80.579511,35.4087517,292,2,93,26,27,4,0,22
"73","Cordova, AK",-145.7525414,60.5424087,724,7,147,64,41,4,0,48
"74","Corpus Christi, TX",-97.396381,27.8005828,3585,142,1104,296,373,49,0,399
"75","Dallas, TX",-96.7969879,32.7766642,70157,1071,32253,6704,8513,423,57,9623
"76","Dallas/Fort Worth, TX",-97.0403352,32.8998091,210461,3152,60389,18244,15480,2377,179,16596
"77","Dayton, OH",-84.1916069,39.7589478,8332,208,2556,808,888,133,4,895
"78","Daytona Beach, FL",-81.0228331,29.2108147,2516,38,858,184,239,63,4,188
"79","Deadhorse, AK",-148.4597191,70.2001996,763,5,119,34,31,7,0,18
"80","Denver, CO",-104.990251,39.7392358,226826,1467,74152,17574,17815,1562,105,19282
"81","Des Moines, IA",-93.6091064,41.6005448,10464,128,3224,868,995,115,2,956
"82","Detroit, MI",-83.0457538,42.331427,137402,1636,39584,9545,8929,1273,73,11219
"83","Devils Lake, ND",-98.8651202,48.112779,624,27,139,38,29,3,1,56
"84","Dillingham, AK",-158.4575,59.0397222,84,0,11,4,5,1,0,0
"85","Dothan, AL",-85.3904888,31.2232313,1293,18,352,123,108,8,0,148
"86","Dubuque, IA",-90.6645718,42.5005583,343,20,70,40,19,13,0,35
"87","Duluth, MN",-92.1004852,46.7866719,2729,98,759,178,215,32,0,221
"88","Durango, CO",-107.8800667,37.27528,1926,27,449,153,146,16,1,153
"89","Eagle, CO",-106.8286507,39.6552634,1795,29,574,239,191,51,1,107
"90","Eau Claire, WI",-91.4984941,44.811349,687,20,169,62,65,6,0,67
"91","El Paso, TX",-106.4850217,31.7618778,12399,142,5341,852,1571,113,5,1691
"92","Elko, NV",-115.7631232,40.8324211,660,2,60,42,13,8,0,22
"93","Elmira/Corning, NY",-76.893638,42.15987,286,0,90,19,32,0,0,21
"94","Erie, PA",-80.085059,42.1292241,1368,22,370,117,114,12,0,127
"95","Escanaba, MI",-87.0645801,45.7452466,625,11,145,41,38,10,0,40
"96","Eugene, OR",-123.0867536,44.0520691,4146,17,1140,418,334,15,1,421
"97","Evansville, IN",-87.5710898,37.9715592,2681,59,673,206,223,29,0,249
"98","Fairbanks, AK",-147.7163888,64.8377778,3604,25,903,316,171,18,9,137
"99","Fargo, ND",-96.7898034,46.8771863,4139,60,1005,325,317,50,1,312
"100","Fayetteville, AR",-94.1718542,36.082156,7512,128,2079,683,652,95,0,637
"101","Fayetteville, NC",-78.8783585,35.0526641,1937,28,631,162,222,37,2,190
"102","Flagstaff, AZ",-111.651302,35.1982836,1286,19,257,49,58,2,0,85
"103","Flint, MI",-83.6874562,43.0125274,4109,80,1391,333,339,58,2,434
"104","Florence, SC",-79.7625625,34.1954331,158,2,61,18,30,2,0,20
"105","Fort Lauderdale, FL",-80.1373174,26.1224386,88764,2118,34140,10212,10824,728,89,8739
"106","Fort Myers, FL",-81.8723084,26.640628,31205,586,10671,3227,3367,330,11,2555
"107","Fort Smith, AR",-94.3985475,35.3859242,1383,21,335,96,129,10,0,125
"108","Fort Wayne, IN",-85.1393513,41.079273,6144,90,1914,665,587,84,2,878
"109","Fresno, CA",-119.7871247,36.7377981,8842,43,2094,619,602,33,0,794
"110","Gainesville, FL",-82.3248262,29.6516344,2157,27,664,195,238,30,0,214
"111","Garden City, KS",-100.8726618,37.9716898,240,5,42,16,12,11,0,19
"112","Gillette, WY",-105.5022205,44.2910915,976,13,203,80,64,9,0,83
"113","Grand Forks, ND",-97.0328547,47.9252568,1567,25,328,100,100,11,0,95
"114","Grand Island, NE",-98.3420118,40.9263957,533,11,150,58,54,9,0,58
"115","Grand Junction, CO",-108.5506486,39.0638705,2874,6,495,140,123,13,0,135
"116","Grand Rapids, MI",-85.6680863,42.9633599,12658,206,4102,1072,1285,168,3,1222
"117","Great Falls, MT",-111.3007715,47.5052849,1636,6,330,80,97,8,0,74
"118","Green Bay, WI",-88.0132958,44.5133188,4425,92,1134,387,323,42,0,418
"119","Greensboro/High Point, NC",-79.8296743,36.0899873,7853,190,2533,742,839,133,1,770
"120","Greenville, NC",-77.3663538,35.612661,100,3,33,15,18,2,0,13
"121","Greer, SC",-82.2270568,34.9387279,8201,120,2789,607,896,123,3,834
"122","Gulfport/Biloxi, MS",-89.0928155,30.3674198,2893,59,692,224,231,44,3,169
"123","Gunnison, CO",-106.9253207,38.5458246,183,1,44,17,22,2,0,7
"124","Gustavus, AK",-135.7369443,58.4133333,84,4,18,3,4,1,0,3
"125","Hagerstown, MD",-77.7199932,39.6417629,35,0,15,4,10,0,0,5
"126","Hancock/Houghton, MI",-88.5809563,47.1268714,728,37,187,67,52,6,1,75
"127","Harlingen/San Benito, TX",-97.6311006,26.132576,2826,82,1255,185,345,17,1,442
"128","Harrisburg, PA",-76.8867008,40.2731911,4262,93,1092,315,341,66,0,278
"129","Hartford, CT",-72.6733723,41.7658043,23969,570,8777,1767,2803,273,13,2350
"130","Hattiesburg/Laurel, MS",-89.335421,31.468239,722,23,239,103,49,4,0,164
"131","Hayden, CO",-107.2636842,40.4894302,1130,10,331,138,106,28,0,85
"132","Hays, KS",-99.3267702,38.8791783,663,11,139,61,45,4,0,66
"133","Helena, MT",-112.0391057,46.5891452,1667,7,356,101,92,10,0,93
"134","Hibbing, MN",-92.9376887,47.4271546,623,10,81,22,21,7,0,23
"135","Hilo, HI",-155.0868193,19.7241106,6573,11,1648,61,505,42,1,336
"136","Hobbs, NM",-103.1360403,32.7026116,659,19,94,34,26,5,0,19
"137","Honolulu, HI",-157.8583333,21.3069444,48152,165,15448,1280,4005,425,19,3037
"138","Houston, TX",-95.3698028,29.7604267,196851,6241,56477,17098,14269,1618,70,14977
"139","Huntsville, AL",-86.5861037,34.7303688,5397,108,1468,342,463,93,3,387
"140","Hyannis, MA",-70.2881124,41.6524911,94,1,28,8,17,0,0,12
"141","Idaho Falls, ID",-112.0407584,43.4926607,2455,6,514,151,151,20,0,141
"142","Indianapolis, IN",-86.158068,39.768403,34036,485,12246,2575,3588,318,15,3565
"143","International Falls, MN",-93.4040679,48.6023149,625,11,108,27,25,6,0,29
"144","Iron Mountain/Kingsfd, MI",-88.0720706,45.7949561,676,7,134,37,41,6,0,46
"145","Islip, NY",-73.2103934,40.7298207,5924,186,2545,378,685,45,3,747
"146","Ithaca/Cortland, NY",-76.5002026,42.4383677,1004,8,253,67,74,16,1,81
"147","Jackson, WY",-110.7624282,43.4799291,3726,16,1093,319,336,56,0,269
"148","Jackson/Vicksburg, MS",-90.8745758,32.3522304,5489,116,1412,382,439,93,2,344
"149","Jacksonville, FL",-81.655651,30.3321838,20777,462,7512,1844,2622,277,8,2090
"150","Jacksonville/Camp Lejeune, NC",-77.4013403,34.6250544,1472,37,521,150,233,17,5,136
"151","Jamestown, ND",-98.7084357,46.9105438,987,23,183,61,52,7,1,55
"152","Joplin, MO",-94.513281,37.0842271,466,12,103,40,30,11,0,46
"153","Juneau, AK",-134.4197221,58.3019444,4429,39,902,319,193,24,10,201
"154","Kahului, HI",-156.4729469,20.8893351,24609,62,6615,880,1967,118,8,994
"155","Kalamazoo, MI",-85.5872286,42.2917069,2341,53,612,194,190,38,0,220
"156","Kalispell, MT",-114.316813,48.1919889,2368,7,606,172,174,17,0,148
"157","Kansas City, MO",-94.5785667,39.0997265,48343,588,18618,3241,5118,370,25,5159
"158","Ketchikan, AK",-131.6461112,55.3422222,2426,14,584,271,166,12,5,103
"159","Key West, FL",-81.7799871,24.5550593,2818,83,590,186,199,27,0,125
"160","Killeen, TX",-97.7277959,31.1171194,1865,59,473,143,185,19,0,126
"161","King Salmon, AK",-156.661351,58.6883251,63,0,16,2,2,0,0,2
"162","Knoxville, TN",-83.9207392,35.9606384,9190,173,2769,958,1016,132,2,920
"163","Kodiak, AK",-152.4072221,57.79,645,29,100,49,34,17,0,17
"164","Kona, HI",-155.9969261,19.639994,13792,20,3643,474,963,73,5,596
"165","Kotzebue, AK",-162.5966666,66.8983333,720,30,118,31,19,6,2,17
"166","La Crosse, WI",-91.2519017,43.8137751,2096,33,526,255,151,28,1,232
"167","Lafayette, LA",-92.0198427,30.2240897,2987,75,603,191,197,32,0,172
