"","city_name","lon","lat","dest_cancelled.counter","dest_delay.counter","dest_nas_delay.counter","dest_carrier_delay.counter","dest_weather_delay.counter","dest_security_delay.counter","dest_late_aircraft_delay.counter","origin_flights.sum","origin_cancelled.counter","origin_delay.counter","origin_nas_delay.counter","origin_carrier_delay.counter","origin_weather_delay.counter","origin_security_delay.counter","origin_late_aircraft_delay.counter"
"1","Aberdeen, SD",-98.4864829,45.4646985,11,120,32,27,7,0,40,728,10,201,55,46,3,2,41
"2","Abilene, TX",-99.7331439,32.4487364,20,155,80,56,21,0,77,630,18,182,61,71,18,0,57
"3","Adak Island, AK",-176.6217472,51.7615874,8,15,8,5,1,0,1,103,8,44,13,6,3,15,3
"4","Akron, OH",-81.5190053,41.0814447,132,2088,649,672,87,8,762,6180,134,1627,747,471,68,1,455
"5","Albany, GA",-84.155741,31.5785074,5,144,59,65,8,0,43,631,5,188,93,51,15,0,69
"6","Albany, NY",-73.7562317,42.6525793,177,4031,765,1238,125,9,1078,10548,186,3469,1054,976,88,5,1037
"7","Albuquerque, NM",-106.650422,35.0843859,151,8607,1449,2458,131,18,2582,20699,157,7350,1341,1634,80,7,2243
"8","Alexandria, LA",-92.4451371,31.3112936,56,398,143,140,24,0,120,1953,58,350,197,84,22,1,156
"9","Allentown/Bethlehem/Easton, PA",-75.441415,40.651834,41,803,260,271,34,1,239,2854,48,834,297,188,31,4,273
"10","Alpena, MI",-83.4327528,45.0616794,31,131,26,26,3,0,48,623,18,236,56,41,17,11,48
"11","Amarillo, TX",-101.8312969,35.2219971,69,1247,297,345,30,2,415,3692,80,896,210,199,23,1,286
"12","Anchorage, AK",-149.9002778,61.2180556,187,5091,1647,1019,113,118,903,17449,149,3268,1072,756,48,4,539
"13","Appleton, WI",-88.4153847,44.2619309,48,810,227,253,28,0,254,3325,49,738,223,141,26,0,262
"14","Arcata/Eureka, CA",-124.1065825,40.9709197,44,338,128,96,17,0,165,1204,44,351,140,19,1,1,173
"15","Asheville, NC",-82.5514869,35.5950581,76,1480,414,524,56,6,547,4587,83,1451,575,266,40,1,612
"16","Ashland, WV",-81.3526016,37.4084488,1,40,10,15,2,0,11,130,1,66,18,36,3,0,25
"17","Aspen, CO",-106.8175387,39.1910983,192,1896,679,532,104,3,626,6260,332,1786,696,339,121,2,840
"18","Atlanta, GA",-84.3879824,33.7489954,4420,109289,26850,25438,2867,132,27047,366563,4372,130933,26819,32913,5892,85,25696
"19","Atlantic City, NJ",-74.4229266,39.3642834,102,1021,427,208,34,5,145,3444,96,692,413,152,19,1,142
"20","Augusta, GA",-82.0105148,33.4734978,29,909,265,294,44,0,274,2796,34,908,279,217,16,0,350
"21","Austin, TX",-97.7430608,30.267153,527,21095,4754,6048,450,32,5750,56026,586,20711,4929,5016,372,36,5488
"22","Bakersfield, CA",-119.0187125,35.3732921,13,569,179,172,5,2,221,2235,15,462,164,83,3,1,175
"23","Baltimore, MD",-76.6121893,39.2903848,1912,40486,7012,9460,892,84,9941,103437,1857,41591,9261,11221,730,57,9994
"24","Bangor, ME",-68.7712257,44.8016128,120,516,171,154,14,0,203,1894,132,544,402,179,26,0,179
"25","Barrow, AK",-156.788611,71.2905556,14,124,35,18,9,0,33,833,19,134,45,5,5,16,43
"26","Baton Rouge, LA",-91.1871466,30.4514677,128,1804,558,673,32,0,618,6913,121,1694,543,603,28,0,565
"27","Beaumont/Port Arthur, TX",-94.1265562,30.080174,13,46,22,17,9,0,21,241,14,41,31,16,8,0,17
"28","Belleville, IL",-89.9839935,38.5200504,2,110,42,44,1,1,30,324,3,138,40,32,6,0,55
"29","Bellingham, WA",-122.4786854,48.7519112,18,303,120,91,8,2,91,1381,19,312,153,59,15,6,94
"30","Bemidji, MN",-94.8826861,47.471573,7,133,41,25,7,0,44,727,5,185,59,46,3,2,42
"31","Bend/Redmond, OR",-121.299079,44.1617823,50,982,334,267,24,1,401,3902,54,992,408,141,22,7,378
"32","Bethel, AK",-161.7558334,60.7922222,27,118,43,33,5,0,20,919,27,160,76,15,5,32,46
"33","Billings, MT",-108.5006904,45.7832856,13,857,247,268,36,0,206,3670,18,565,225,109,20,0,223
"34","Binghamton, NY",-75.9179738,42.0986867,20,228,68,72,12,0,74,874,23,213,65,37,6,0,85
"35","Birmingham, AL",-86.80249,33.5206608,237,4809,972,1471,192,4,1422,13527,240,3887,1011,867,80,7,1253
"36","Bismarck/Mandan, ND",-100.8895761,46.8266603,43,740,248,230,35,0,222,2909,47,630,225,118,22,7,269
"37","Bloomington/Normal, IL",-88.9906312,40.5142026,40,688,210,247,35,1,261,2537,45,584,246,155,26,3,243
"38","Boise, ID",-116.2023137,43.6150186,76,5580,1155,1369,105,10,1696,17288,81,4023,1101,840,95,1,1183
"39","Boston, MA",-71.0588801,42.3600825,3703,49720,18080,14298,1457,58,15504,131539,3705,47683,17202,15811,1520,113,14082
"40","Bozeman, MT",-111.0429339,45.6769979,26,1498,495,440,59,1,334,5555,34,1438,479,294,57,0,441
"41","Brainerd, MN",-94.2020084,46.3526733,10,113,29,34,5,0,39,637,10,146,67,37,4,2,39
"42","Bristol/Johnson City/Kingsport, TN",-82.1888089,36.595141,19,591,166,234,19,2,211,2052,20,487,127,116,10,1,187
"43","Brownsville, TX",-97.4974838,25.9017472,45,266,83,81,19,1,77,1434,46,185,77,32,16,1,80
"44","Brunswick, GA",-81.4914894,31.1499528,10,170,62,73,2,0,45,695,9,159,69,44,0,1,58
"45","Buffalo, NY",-78.8783689,42.8864468,515,7583,1704,2730,206,11,2333,20374,564,6482,2274,1635,179,1,2184
"46","Bullhead City, AZ",-114.5285981,35.1359386,0,50,32,32,0,0,18,290,0,105,50,8,0,0,50
"47","Burbank, CA",-118.3089661,34.1808392,390,10551,1723,3066,57,22,3522,26043,422,10576,2300,2244,74,4,3650
"48","Burlington, VT",-73.212072,44.4758825,236,1574,461,611,62,1,551,5036,264,1567,783,420,60,1,484
"49","Butte, MT",-112.5347775,46.0038232,8,105,17,20,12,0,21,675,10,96,34,9,8,0,38
"50","Cape Girardeau, MO",-89.5181476,37.3058839,13,67,17,12,1,0,32,255,13,67,35,23,1,0,19
"51","Casper, WY",-106.3251749,42.8500769,1,120,32,39,6,0,23,811,1,92,35,11,1,0,35
"52","Cedar City, UT",-113.0618931,37.6774769,1,82,103,38,2,0,19,623,1,166,62,11,1,0,80
"53","Cedar Rapids/Iowa City, IA",-104.990251,41.9778795,93,1709,622,561,102,2,576,6878,105,1862,669,362,100,4,691
"54","Champaign/Urbana, IL",-88.2433829,40.1164204,30,185,93,48,35,0,65,762,35,161,85,35,21,0,61
"55","Charleston, SC",-79.9310512,32.7764749,505,5551,1188,1676,179,8,1471,16759,535,4787,1388,1173,60,10,1534
"56","Charleston/Dunbar, WV",-81.7373485,38.3606509,92,776,208,262,53,1,257,2789,89,803,304,180,38,0,294
"57","Charlotte, NC",-80.8431267,35.2270869,2729,43355,11029,11273,1391,93,11443,149870,2452,51041,16823,15929,1814,269,13731
"58","Charlottesville, VA",-78.4766781,38.0293059,99,1100,350,369,45,2,444,3270,109,1038,370,279,29,7,403
"59","Chattanooga, TN",-85.3096801,35.0456297,93,1529,545,524,70,1,544,4884,92,1411,570,324,30,0,532
"60","Chicago, IL",-87.6297982,41.8781136,6887,116296,37608,26905,3257,206,34901,375211,6583,138640,40646,38737,6639,93,38194
"61","Cincinnati, OH",-84.5120196,39.1031182,477,9597,2402,2704,335,8,2941,29328,497,8352,3399,1890,371,7,2386
"62","Clarksburg/Fairmont, WV",-80.1425781,39.4850848,11,97,42,40,2,0,41,373,12,100,56,46,5,0,16
"63","Cleveland, OH",-81.6943605,41.49932,695,12942,3280,3826,372,6,4005,40705,709,11306,4268,3070,184,34,3111
"64","Cody, WY",-109.0565308,44.5263422,8,148,45,36,8,0,32,991,12,168,71,22,7,2,57
"65","College Station/Bryan, TX",-96.3344068,30.627977,43,303,90,106,13,0,105,1650,44,268,89,64,11,0,104
"66","Colorado Springs, CO",-104.8213634,38.8338816,107,3051,1014,949,97,2,1047,9707,106,2357,871,656,85,1,623
"67","Columbia, MO",-92.3340724,38.9517053,39,344,117,106,30,0,129,1338,39,266,185,78,12,1,92
"68","Columbia, SC",-81.0348144,34.0007104,84,1339,263,447,67,0,346,4391,71,954,299,243,25,0,302
"69","Columbus, GA",-84.9877094,32.4609764,6,232,70,94,8,0,70,849,7,232,89,65,3,0,108
"70","Columbus, MS",-88.4272627,33.4956744,13,249,93,68,7,0,114,957,11,203,84,38,7,0,97
"71","Columbus, OH",-82.9987942,39.9611755,521,11275,2450,3307,311,13,3262,30986,546,9924,3065,2449,253,3,2916
"72","CONCORD, NC",-80.579511,35.4087517,2,93,26,27,4,0,22,292,3,107,43,11,0,1,49
"73","Cordova, AK",-145.7525414,60.5424087,7,147,64,41,4,0,48,724,8,143,66,11,3,9,65
"74","Corpus Christi, TX",-97.396381,27.8005828,142,1104,296,373,49,0,399,3585,138,853,306,157,31,0,351
"75","Dallas, TX",-96.7969879,32.7766642,1071,32253,6704,8513,423,57,9623,70155,1021,38924,7005,10979,663,88,11352
"76","Dallas/Fort Worth, TX",-97.0403352,32.8998091,3152,60389,18244,15480,2377,179,16596,210467,2870,72012,21385,23691,3287,54,18431
"77","Dayton, OH",-84.1916069,39.7589478,208,2556,808,888,133,4,895,8333,211,2348,929,600,72,0,898
"78","Daytona Beach, FL",-81.0228331,29.2108147,38,858,184,239,63,4,188,2515,39,657,167,171,22,0,229
"79","Deadhorse, AK",-148.4597191,70.2001996,5,119,34,31,7,0,18,763,15,102,24,8,9,0,30
"80","Denver, CO",-104.990251,39.7392358,1467,74152,17574,17815,1562,105,19282,226778,1324,82496,22305,20736,1672,49,20430
"81","Des Moines, IA",-93.6091064,41.6005448,128,3224,868,995,115,2,956,10464,138,2735,993,632,132,10,831
"82","Detroit, MI",-83.0457538,42.331427,1636,39584,9545,8929,1273,73,11219,137387,1556,39098,13038,10893,1318,39,8929
"83","Devils Lake, ND",-98.8651202,48.112779,27,139,38,29,3,1,56,624,21,117,29,18,4,1,31
"84","Dillingham, AK",-158.4575,59.0397222,0,11,4,5,1,0,0,84,0,20,6,3,0,4,2
"85","Dothan, AL",-85.3904888,31.2232313,18,352,123,108,8,0,148,1293,18,359,173,88,13,0,168
"86","Dubuque, IA",-90.6645718,42.5005583,20,70,40,19,13,0,35,343,22,69,46,11,10,0,29
"87","Duluth, MN",-92.1004852,46.7866719,98,759,178,215,32,0,221,2724,99,573,236,82,20,0,249
"88","Durango, CO",-107.8800667,37.27528,27,449,153,146,16,1,153,1926,28,383,141,61,18,0,169
"89","Eagle, CO",-106.8286507,39.6552634,29,574,239,191,51,1,107,1795,39,557,190,124,29,0,213
"90","Eau Claire, WI",-91.4984941,44.811349,20,169,62,65,6,0,67,687,21,138,57,29,0,0,47
"91","El Paso, TX",-106.4850217,31.7618778,142,5341,852,1571,113,5,1691,12394,149,4373,801,1030,67,5,1363
"92","Elko, NV",-115.7631232,40.8324211,2,60,42,13,8,0,22,660,3,99,35,7,4,2,29
"93","Elmira/Corning, NY",-76.893638,42.15987,0,90,19,32,0,0,21,288,0,97,21,25,3,0,34
"94","Erie, PA",-80.085059,42.1292241,22,370,117,114,12,0,127,1369,21,291,93,39,7,0,134
"95","Escanaba, MI",-87.0645801,45.7452466,11,145,41,38,10,0,40,625,13,193,53,20,6,1,88
"96","Eugene, OR",-123.0867536,44.0520691,17,1140,418,334,15,1,421,4149,12,1123,482,192,28,1,375
"97","Evansville, IN",-87.5710898,37.9715592,59,673,206,223,29,0,249,2682,54,573,240,156,32,0,173
"98","Fairbanks, AK",-147.7163888,64.8377778,25,903,316,171,18,9,137,3603,20,611,198,142,8,8,103
"99","Fargo, ND",-96.7898034,46.8771863,60,1005,325,317,50,1,312,4141,66,912,404,204,34,3,337
"100","Fayetteville, AR",-94.1718542,36.082156,128,2079,683,652,95,0,637,7510,144,1774,622,304,89,3,685
"101","Fayetteville, NC",-78.8783585,35.0526641,28,631,162,222,37,2,190,1937,32,603,157,133,16,0,226
"102","Flagstaff, AZ",-111.651302,35.1982836,19,257,49,58,2,0,85,1286,20,278,79,34,5,3,72
"103","Flint, MI",-83.6874562,43.0125274,80,1391,333,339,58,2,434,4107,78,1111,487,280,30,4,431
"104","Florence, SC",-79.7625625,34.1954331,2,61,18,30,2,0,20,156,3,64,10,31,0,0,24
"105","Fort Lauderdale, FL",-80.1373174,26.1224386,2118,34140,10212,10824,728,89,8739,88767,2056,34941,11391,10716,1304,213,9253
"106","Fort Myers, FL",-81.8723084,26.640628,586,10671,3227,3367,330,11,2555,31205,617,10089,2806,2490,178,9,3107
"107","Fort Smith, AR",-94.3985475,35.3859242,21,335,96,129,10,0,125,1383,22,231,75,64,14,0,113
"108","Fort Wayne, IN",-85.1393513,41.079273,90,1914,665,587,84,2,878,6144,77,1585,604,458,56,3,558
"109","Fresno, CA",-119.7871247,36.7377981,43,2094,619,602,33,0,794,8843,53,2035,721,498,20,2,549
"110","Gainesville, FL",-82.3248262,29.6516344,27,664,195,238,30,0,214,2157,35,662,179,184,18,0,254
"111","Garden City, KS",-100.8726618,37.9716898,5,42,16,12,11,0,19,240,5,65,14,11,7,0,17
"112","Gillette, WY",-105.5022205,44.2910915,13,203,80,64,9,0,83,976,14,169,67,27,10,1,76
"113","Grand Forks, ND",-97.0328547,47.9252568,25,328,100,100,11,0,95,1568,28,273,100,59,19,5,112
"114","Grand Island, NE",-98.3420118,40.9263957,11,150,58,54,9,0,58,533,11,187,75,51,21,2,41
"115","Grand Junction, CO",-108.5506486,39.0638705,6,495,140,123,13,0,135,2877,9,380,110,56,7,0,126
"116","Grand Rapids, MI",-85.6680863,42.9633599,206,4102,1072,1285,168,3,1222,12662,199,3579,1342,857,136,2,1223
"117","Great Falls, MT",-111.3007715,47.5052849,6,330,80,97,8,0,74,1636,6,278,80,51,20,0,73
"118","Green Bay, WI",-88.0132958,44.5133188,92,1134,387,323,42,0,418,4425,94,796,381,128,27,1,370
"119","Greensboro/High Point, NC",-79.8296743,36.0899873,190,2533,742,839,133,1,770,7847,214,2058,874,487,45,1,733
"120","Greenville, NC",-77.3663538,35.612661,3,33,15,18,2,0,13,99,3,42,11,19,0,1,16
"121","Greer, SC",-82.2270568,34.9387279,120,2789,607,896,123,3,834,8200,138,2262,650,477,30,6,622
"122","Gulfport/Biloxi, MS",-89.0928155,30.3674198,59,692,224,231,44,3,169,2893,62,610,212,127,23,0,199
"123","Gunnison, CO",-106.9253207,38.5458246,1,44,17,22,2,0,7,183,2,40,10,3,1,0,19
"124","Gustavus, AK",-135.7369443,58.4133333,4,18,3,4,1,0,3,84,4,14,7,6,0,2,8
"125","Hagerstown, MD",-77.7199932,39.6417629,0,15,4,10,0,0,5,35,0,20,6,5,3,1,14
"126","Hancock/Houghton, MI",-88.5809563,47.1268714,37,187,67,52,6,1,75,727,40,126,64,30,7,2,55
"127","Harlingen/San Benito, TX",-97.6311006,26.132576,82,1255,185,345,17,1,442,2826,85,988,262,245,10,1,416
"128","Harrisburg, PA",-76.8867008,40.2731911,93,1092,315,341,66,0,278,4263,100,940,314,215,40,0,297
"129","Hartford, CT",-72.6733723,41.7658043,570,8777,1767,2803,273,13,2350,23966,606,6788,2078,1994,156,5,1867
"130","Hattiesburg/Laurel, MS",-89.335421,31.468239,23,239,103,49,4,0,164,722,30,219,86,72,5,2,88
"131","Hayden, CO",-107.2636842,40.4894302,10,331,138,106,28,0,85,1131,24,292,101,56,13,0,117
"132","Hays, KS",-99.3267702,38.8791783,11,139,61,45,4,0,66,664,13,120,45,19,3,0,46
"133","Helena, MT",-112.0391057,46.5891452,7,356,101,92,10,0,93,1670,7,239,122,54,9,1,51
"134","Hibbing, MN",-92.9376887,47.4271546,10,81,22,21,7,0,23,624,11,93,43,18,4,1,35
"135","Hilo, HI",-155.0868193,19.7241106,11,1648,61,505,42,1,336,6208,17,1805,59,364,47,0,521
"136","Hobbs, NM",-103.1360403,32.7026116,19,94,34,26,5,0,19,659,21,62,41,11,7,0,11
"137","Honolulu, HI",-157.8583333,21.3069444,165,15448,1280,4005,425,19,3037,48154,146,12494,992,3832,202,25,1788
"138","Houston, TX",-95.3698028,29.7604267,6241,56477,17098,14269,1618,70,14977,196892,6209,62766,15271,15930,2129,57,15018
"139","Huntsville, AL",-86.5861037,34.7303688,108,1468,342,463,93,3,387,5398,117,1167,373,248,37,1,439
"140","Hyannis, MA",-70.2881124,41.6524911,1,28,8,17,0,0,12,94,1,52,19,10,1,1,15
"141","Idaho Falls, ID",-112.0407584,43.4926607,6,514,151,151,20,0,141,2455,9,477,118,64,11,0,162
"142","Indianapolis, IN",-86.158068,39.768403,485,12246,2575,3588,318,15,3565,34035,484,10421,3281,2433,369,8,2878
"143","International Falls, MN",-93.4040679,48.6023149,11,108,27,25,6,0,29,625,12,91,40,12,1,1,54
"144","Iron Mountain/Kingsfd, MI",-88.0720706,45.7949561,7,134,37,41,6,0,46,676,11,200,56,29,8,2,81
"145","Islip, NY",-73.2103934,40.7298207,186,2545,378,685,45,3,747,5923,196,2205,556,598,36,2,596
"146","Ithaca/Cortland, NY",-76.5002026,42.4383677,8,253,67,74,16,1,81,1002,9,248,124,58,13,1,124
"147","Jackson, WY",-110.7624282,43.4799291,16,1093,319,336,56,0,269,3725,33,1006,343,209,40,0,304
"148","Jackson/Vicksburg, MS",-90.8745758,32.3522304,116,1412,382,439,93,2,344,5489,124,1254,420,313,58,1,406
"149","Jacksonville, FL",-81.655651,30.3321838,462,7512,1844,2622,277,8,2090,20775,480,6281,1698,1692,202,6,2078
"150","Jacksonville/Camp Lejeune, NC",-77.4013403,34.6250544,37,521,150,233,17,5,136,1473,42,410,101,114,4,1,161
"151","Jamestown, ND",-98.7084357,46.9105438,23,183,61,52,7,1,55,987,43,208,49,45,5,1,74
"152","Joplin, MO",-94.513281,37.0842271,12,103,40,30,11,0,46,466,15,107,74,41,8,0,43
"153","Juneau, AK",-134.4197221,58.3019444,39,902,319,193,24,10,201,4429,50,907,325,205,23,19,226
"154","Kahului, HI",-156.4729469,20.8893351,62,6615,880,1967,118,8,994,24607,112,7198,634,2065,149,15,1861
"155","Kalamazoo, MI",-85.5872286,42.2917069,53,612,194,190,38,0,220,2341,57,476,233,102,23,1,253
"156","Kalispell, MT",-114.316813,48.1919889,7,606,172,174,17,0,148,2369,8,472,169,65,21,1,192
"157","Kansas City, MO",-94.5785667,39.0997265,588,18618,3241,5118,370,25,5159,48337,614,15768,3295,3214,325,23,4435
"158","Ketchikan, AK",-131.6461112,55.3422222,14,584,271,166,12,5,103,2426,30,583,199,94,17,4,188
"159","Key West, FL",-81.7799871,24.5550593,83,590,186,199,27,0,125,2816,87,769,192,139,6,1,195
"160","Killeen, TX",-97.7277959,31.1171194,59,473,143,185,19,0,126,1865,64,459,173,142,15,1,149
"161","King Salmon, AK",-156.661351,58.6883251,0,16,2,2,0,0,2,63,0,14,4,1,0,1,2
"162","Knoxville, TN",-83.9207392,35.9606384,173,2769,958,1016,132,2,920,9194,170,2409,864,629,62,2,780
"163","Kodiak, AK",-152.4072221,57.79,29,100,49,34,17,0,17,645,29,120,46,9,4,9,49
"164","Kona, HI",-155.9969261,19.639994,20,3643,474,963,73,5,596,14159,56,3695,454,898,88,23,980
"165","Kotzebue, AK",-162.5966666,66.8983333,30,118,31,19,6,2,17,720,38,168,66,28,13,11,42
"166","La Crosse, WI",-91.2519017,43.8137751,33,526,255,151,28,1,232,2096,34,464,180,64,25,1,233
